device_os,amt,gender,city,job,category,city_pop,age_group,job_age_group,hour_sin,hour_cos
macOS,328.06,F,Test City,Doctor,Apparel,2716000,31-45,Doctor_31-45,0.866025403784439,-0.5
other,313.53,M,Test City,Clerk,Electronics,2716000,46-60,Clerk_46-60,0.258819045102521,0.965925826289068
other,255.81,F,Test City,Teacher,Electronics,2716000,60+,Teacher_60+,0.258819045102521,0.965925826289068
Linux,222.52,F,Phoenix,Doctor,Groceries,1680992,60+,Doctor_60+,-0.707106781186547,-0.707106781186548
other,117.32,F,Test City,Engineer,Electronics,2716000,60+,Engineer_60+,0.258819045102521,0.965925826289068
macOS,192.13,F,Test City,Lawyer,Groceries,2716000,46-60,Lawyer_46-60,0,1
macOS,476.94,F,Test City,Clerk,Apparel,2716000,60+,Clerk_60+,0.707106781186548,-0.707106781186547
other,459.85,M,Test City,Lawyer,Travel,2328000,60+,Lawyer_60+,0.866025403784439,-0.5
X11,169.45,M,Test City,Teacher,Entertainment,2716000,31-45,Teacher_31-45,-0.866025403784439,0.5
macOS,80.39,F,Test City,Engineer,Groceries,2716000,31-45,Engineer_31-45,-0.866025403784438,-0.5
X11,335.46,M,Phoenix,Doctor,Travel,1680992,16-30,Doctor_16-30,0.707106781186548,-0.707106781186547
other,252.92,F,Test City,Lawyer,Entertainment,2716000,31-45,Lawyer_31-45,0.5,-0.866025403784439
Linux,84.59,M,Test City,Lawyer,Travel,2716000,31-45,Lawyer_31-45,-0.5,0.866025403784438
other,244.99,F,New York,Doctor,Electronics,8419600,46-60,Doctor_46-60,-0.707106781186548,0.707106781186547
other,196.06,F,Los Angeles,Lawyer,Travel,3979576,46-60,Lawyer_46-60,-0.965925826289068,-0.258819045102521
other,368.73,F,Test City,Doctor,Electronics,2716000,31-45,Doctor_31-45,-0.258819045102521,-0.965925826289068
Linux,370.27,F,Test City,Doctor,Electronics,2716000,16-30,Doctor_16-30,0.258819045102521,-0.965925826289068
Windows,99.13,M,Phoenix,Engineer,Travel,1680992,31-45,Engineer_31-45,-0.707106781186547,-0.707106781186548
other,12.57,F,Test City,Doctor,Travel,2716000,46-60,Doctor_46-60,0.707106781186547,0.707106781186548
macOS,3.69,F,Test City,Doctor,Groceries,2716000,60+,Doctor_60+,-0.866025403784439,0.5
Linux,488.2,F,Test City,Teacher,Groceries,2716000,60+,Teacher_60+,0.5,-0.866025403784439
Linux,272.63,M,Los Angeles,Teacher,Electronics,3979576,46-60,Teacher_46-60,0.5,0.866025403784439
other,455.49,F,Los Angeles,Nurse,Travel,3979576,60+,Nurse_60+,-0.965925826289069,0.25881904510252
other,162.88,F,Test City,Lawyer,Groceries,2716000,16-30,Lawyer_16-30,0.866025403784439,-0.5
Windows,47.13,F,Test City,Teacher,Groceries,2716000,46-60,Teacher_46-60,-0.707106781186547,-0.707106781186548
Windows,135.11,F,Test City,Lawyer,Groceries,2716000,60+,Lawyer_60+,0.5,0.866025403784439
other,168.04,F,Test City,Engineer,Travel,2716000,31-45,Engineer_31-45,-0.258819045102521,-0.965925826289068
macOS,338.85,F,Test City,Teacher,Electronics,2716000,60+,Teacher_60+,0.707106781186547,0.707106781186548
macOS,278.85,M,Los Angeles,Nurse,Groceries,3979576,31-45,Nurse_31-45,0.5,-0.866025403784439
macOS,428.59,F,Test City,Lawyer,Groceries,2716000,60+,Lawyer_60+,0.866025403784439,-0.5
Linux,343.25,F,Houston,Lawyer,Apparel,2328000,60+,Lawyer_60+,-0.707106781186548,0.707106781186547
macOS,110.33,F,Test City,Doctor,Travel,2716000,31-45,Doctor_31-45,-0.707106781186548,0.707106781186547
X11,49.46,F,Test City,Clerk,Apparel,8419600,46-60,Clerk_46-60,0.258819045102521,-0.965925826289068
