device_os,amt,gender,city_pop,job_age_group,category_city,hour_sin,hour_cos
,328.06,F,,Doctor_36-45,Apparel_Test City,0.8660254037844387,-0.4999999999999998
other,313.53,M,,Clerk_46-55,Electronics_Test City,0.25881904510252074,0.9659258262890683
,255.81,F,,Teacher_65+,Electronics_Test City,0.25881904510252074,0.9659258262890683
Linux,222.52,F,1680992.0,Doctor_56-65,Groceries_Phoenix,-0.7071067811865471,-0.7071067811865479
,117.32,F,,Engineer_56-65,Electronics_Test City,0.25881904510252074,0.9659258262890683
macOS,192.13,F,,Lawyer_46-55,Groceries_Test City,0.0,1.0
,476.94,F,,Clerk_56-65,Apparel_Test City,0.7071067811865476,-0.7071067811865475
,459.85,M,,Lawyer_56-65,Travel_Test City,0.8660254037844387,-0.4999999999999998
,169.45,M,,Teacher_26-35,Entertainment_Test City,-0.8660254037844386,0.5000000000000001
,80.39,F,,Engineer_36-45,Groceries_Test City,-0.8660254037844384,-0.5000000000000004
X11,335.46,M,1680992.0,Doctor_16-25,Travel_Phoenix,0.7071067811865476,-0.7071067811865475
,252.92,F,,Lawyer_26-35,Entertainment_Test City,0.49999999999999994,-0.8660254037844387
Linux,84.59,M,,Lawyer_26-35,Travel_Test City,-0.5000000000000004,0.8660254037844384
,244.99,F,8419600.0,Doctor_46-55,Electronics_New York,-0.7071067811865477,0.7071067811865474
other,196.06,F,3979576.0,Lawyer_46-55,Travel_Los Angeles,-0.9659258262890683,-0.25881904510252063
,368.73,F,,Doctor_36-45,Electronics_Test City,-0.2588190451025208,-0.9659258262890683
Linux,370.27,F,,Doctor_26-35,Electronics_Test City,0.258819045102521,-0.9659258262890682
Windows,99.13,M,1680992.0,Engineer_36-45,Travel_Phoenix,-0.7071067811865471,-0.7071067811865479
,12.57,F,,Doctor_46-55,Travel_Test City,0.7071067811865475,0.7071067811865476
,3.69,F,,Doctor_65+,Groceries_Test City,-0.8660254037844386,0.5000000000000001
Linux,488.2,F,,Teacher_65+,Groceries_Test City,0.49999999999999994,-0.8660254037844387
,272.63,M,3979576.0,Teacher_46-55,Electronics_Los Angeles,0.49999999999999994,0.8660254037844387
,455.49,F,3979576.0,Nurse_65+,Travel_Los Angeles,-0.9659258262890684,0.2588190451025203
,162.88,F,,Lawyer_26-35,Groceries_Test City,0.8660254037844387,-0.4999999999999998
Windows,47.13,F,,Teacher_56-65,Groceries_Test City,-0.7071067811865471,-0.7071067811865479
Windows,135.11,F,,Lawyer_56-65,Groceries_Test City,0.49999999999999994,0.8660254037844387
,168.04,F,,Engineer_36-45,Travel_Test City,-0.2588190451025208,-0.9659258262890683
,338.85,F,,Teacher_65+,Electronics_Test City,0.7071067811865475,0.7071067811865476
,278.85,M,3979576.0,Nurse_36-45,Groceries_Los Angeles,0.49999999999999994,-0.8660254037844387
,428.59,F,,Lawyer_65+,Groceries_Test City,0.8660254037844387,-0.4999999999999998
Linux,343.25,F,2328000.0,Lawyer_56-65,Apparel_Houston,-0.7071067811865477,0.7071067811865474
,110.33,F,,Doctor_36-45,Travel_Test City,-0.7071067811865477,0.7071067811865474
,49.46,F,,Clerk_46-55,Apparel_Test City,0.258819045102521,-0.9659258262890682
Windows,232.7,F,,Lawyer_26-35,Groceries_Test City,0.49999999999999994,0.8660254037844387
other,273.67,F,8419600.0,Teacher_36-45,Electronics_New York,-0.8660254037844386,0.5000000000000001
,289.86,M,,Teacher_26-35,Electronics_Test City,0.49999999999999994,0.8660254037844387
,60.12,F,,Doctor_26-35,Groceries_Test City,-0.9659258262890684,0.2588190451025203
,168.89,M,,Engineer_46-55,Travel_Test City,0.49999999999999994,-0.8660254037844387
Windows,103.05,F,8419600.0,Doctor_46-55,Apparel_New York,-0.4999999999999997,-0.8660254037844388
other,188.87,F,,Engineer_56-65,Travel_Test City,0.0,1.0
Windows,412.29,F,,Doctor_65+,Electronics_Test City,0.7071067811865476,-0.7071067811865475
Windows,455.38,M,,Doctor_36-45,Travel_Test City,-0.9659258262890684,0.2588190451025203
,204.94,M,8419600.0,Artist_46-55,Entertainment_New York,0.9659258262890683,-0.25881904510252063
,138.85,F,,Teacher_46-55,Travel_Test City,0.7071067811865476,-0.7071067811865475
Windows,71.14,F,,Clerk_56-65,Apparel_Test City,-0.7071067811865471,-0.7071067811865479
,309.45,F,,Clerk_36-45,Groceries_Test City,0.258819045102521,-0.9659258262890682
,12.99,F,,Teacher_65+,Entertainment_Test City,0.8660254037844387,-0.4999999999999998
,48.88,M,,Engineer_36-45,Electronics_Test City,-0.5000000000000004,0.8660254037844384
,123.05,F,,Doctor_36-45,Travel_Test City,-0.25881904510252157,0.9659258262890681
,237.87,M,,Lawyer_26-35,Groceries_Test City,0.49999999999999994,0.8660254037844387
,412.68,M,,Teacher_26-35,Travel_Test City,0.258819045102521,-0.9659258262890682
macOS,493.8,F,,Lawyer_36-45,Apparel_Test City,-0.5000000000000004,0.8660254037844384
Windows,84.25,F,1680992.0,Nurse_46-55,Apparel_Phoenix,-0.8660254037844384,-0.5000000000000004
macOS,104.46,M,,Doctor_26-35,Apparel_Test City,0.9659258262890683,-0.25881904510252063
,478.77,M,1680992.0,Teacher_56-65,Apparel_Phoenix,0.49999999999999994,0.8660254037844387
,369.02,F,2716000.0,Engineer_56-65,Entertainment_Chicago,1.0,6.123233995736766e-17
,496.64,F,,Teacher_56-65,Travel_Test City,-0.2588190451025208,-0.9659258262890683
,240.97,M,,Teacher_36-45,Groceries_Test City,-0.4999999999999997,-0.8660254037844388
Linux,99.65,F,,Clerk_65+,Groceries_Test City,0.0,1.0
,395.75,M,,Lawyer_65+,Travel_Test City,1.2246467991473532e-16,-1.0
macOS,322.73,M,1680992.0,Teacher_56-65,Groceries_Phoenix,-0.2588190451025208,-0.9659258262890683
,242.58,F,,Engineer_36-45,Groceries_Test City,-0.5000000000000004,0.8660254037844384
Windows,200.98,F,2716000.0,Nurse_36-45,Entertainment_Chicago,-0.9659258262890683,-0.25881904510252063
,480.93,M,,Teacher_65+,Travel_Test City,0.49999999999999994,-0.8660254037844387
X11,140.45,M,,Lawyer_26-35,Groceries_Test City,1.2246467991473532e-16,-1.0
,3.88,F,8419600.0,Lawyer_16-25,Travel_New York,-0.9659258262890684,0.2588190451025203
,75.81,F,2716000.0,Doctor_36-45,Electronics_Chicago,0.7071067811865475,0.7071067811865476
,254.04,F,,Lawyer_46-55,Apparel_Test City,-0.9659258262890684,0.2588190451025203
,236.11,F,,Lawyer_56-65,Apparel_Test City,-0.9659258262890683,-0.25881904510252063
,300.02,F,,Teacher_56-65,Apparel_Test City,0.25881904510252074,0.9659258262890683
,343.16,F,,Teacher_46-55,Apparel_Test City,0.9659258262890683,-0.25881904510252063
,,M,2328000.0,Nurse_16-25,Apparel_Houston,-0.2588190451025208,-0.9659258262890683
other,112.75,F,,Engineer_56-65,Groceries_Test City,0.9659258262890683,0.25881904510252074
other,149.77,F,,Teacher_26-35,Electronics_Test City,1.0,6.123233995736766e-17
,104.1,F,,Lawyer_56-65,Groceries_Test City,-0.5000000000000004,0.8660254037844384
Windows,303.82,F,,Teacher_46-55,Apparel_Test City,0.9659258262890683,0.25881904510252074
,93.35,F,,Clerk_46-55,Entertainment_Test City,0.25881904510252074,0.9659258262890683
Windows,57.31,M,8419600.0,Lawyer_26-35,Groceries_New York,0.25881904510252074,0.9659258262890683
,435.84,M,8419600.0,Nurse_36-45,Apparel_New York,-0.8660254037844384,-0.5000000000000004
,209.09,F,,Doctor_26-35,Travel_Test City,0.49999999999999994,0.8660254037844387
other,454.55,F,3979576.0,Nurse_16-25,Electronics_Los Angeles,0.258819045102521,-0.9659258262890682
other,395.68,F,,Doctor_56-65,Electronics_Test City,0.7071067811865476,-0.7071067811865475
macOS,466.53,F,8419600.0,Lawyer_65+,Travel_New York,0.8660254037844386,0.5000000000000001
other,15.05,M,,Engineer_36-45,Groceries_Test City,-1.0,-1.8369701987210297e-16
other,283.0,F,3979576.0,Lawyer_16-25,Electronics_Los Angeles,0.0,1.0
,27.81,F,,Clerk_36-45,Entertainment_Test City,0.8660254037844387,-0.4999999999999998
,435.2,M,,Clerk_56-65,Groceries_Test City,-0.8660254037844386,0.5000000000000001
other,26.93,M,2328000.0,Engineer_26-35,Groceries_Houston,0.9659258262890683,0.25881904510252074
,322.01,M,,Lawyer_56-65,Electronics_Test City,0.8660254037844386,0.5000000000000001
,311.13,F,8419600.0,Clerk_16-25,Groceries_New York,-1.0,-1.8369701987210297e-16
other,391.95,M,3979576.0,Artist_36-45,Apparel_Los Angeles,0.9659258262890683,0.25881904510252074
,29.13,M,1680992.0,Artist_56-65,Entertainment_Phoenix,-0.5000000000000004,0.8660254037844384
,440.28,F,8419600.0,Artist_56-65,Groceries_New York,0.8660254037844386,0.5000000000000001
,73.48,F,,Lawyer_65+,Groceries_Test City,-0.7071067811865471,-0.7071067811865479
,469.6,M,,Doctor_26-35,Travel_Test City,0.7071067811865476,-0.7071067811865475
,45.84,M,,Lawyer_65+,Travel_Test City,-0.8660254037844386,0.5000000000000001
,253.1,M,,Doctor_26-35,Entertainment_Test City,1.0,6.123233995736766e-17
,373.27,F,,Teacher_56-65,Travel_Test City,0.8660254037844387,-0.4999999999999998
,492.21,F,,Engineer_46-55,Groceries_Test City,0.9659258262890683,-0.25881904510252063
macOS,201.16,M,,Lawyer_56-65,Groceries_Test City,-0.4999999999999997,-0.8660254037844388
other,202.34,F,3979576.0,Clerk_56-65,Groceries_Los Angeles,0.8660254037844387,-0.4999999999999998
other,392.8,F,1680992.0,Artist_16-25,Apparel_Phoenix,0.9659258262890683,0.25881904510252074
Linux,41.71,F,3979576.0,Lawyer_56-65,Apparel_Los Angeles,0.9659258262890683,0.25881904510252074
,182.93,F,,Clerk_46-55,Groceries_Test City,-0.25881904510252157,0.9659258262890681
Windows,205.59,M,,Teacher_26-35,Travel_Test City,-0.4999999999999997,-0.8660254037844388
Windows,82.63,F,,Clerk_56-65,Electronics_Test City,-0.4999999999999997,-0.8660254037844388
,204.17,F,1680992.0,Nurse_26-35,Groceries_Phoenix,0.49999999999999994,0.8660254037844387
,185.14,F,2716000.0,Nurse_26-35,Travel_Chicago,0.49999999999999994,-0.8660254037844387
