device_os,amt,gender,city_pop,job_age_group,category_city,hour_sin,hour_cos
macOS,328.06,F,2716000,Doctor_36-45,Apparel_Test City,0.866025403784439,-0.5
other,313.53,M,2328000,Clerk_46-55,Electronics_Test City,0.258819045102521,0.965925826289068
other,255.81,F,2328000,Teacher_65+,Electronics_Test City,0.258819045102521,0.965925826289068
Linux,222.52,F,1680992,Doctor_56-65,Groceries_Phoenix,-0.707106781186547,-0.707106781186548
other,117.32,F,2328000,Engineer_56-65,Electronics_Test City,0.258819045102521,0.965925826289068
macOS,192.13,F,8419600,Lawyer_46-55,Groceries_Test City,0,1
X11,476.94,F,2716000,Clerk_56-65,Apparel_Test City,0.707106781186548,-0.707106781186547
macOS,459.85,M,3979576,Lawyer_56-65,Travel_Test City,0.866025403784439,-0.5
X11,169.45,M,3979576,Teacher_26-35,Entertainment_Test City,-0.866025403784439,0.5
macOS,80.39,F,8419600,Engineer_36-45,Groceries_Test City,-0.866025403784438,-0.5
X11,335.46,M,1680992,Doctor_16-25,Travel_Phoenix,0.707106781186548,-0.707106781186547
other,252.92,F,3979576,Lawyer_26-35,Entertainment_Test City,0.5,-0.866025403784439
Linux,84.59,M,1680992,Lawyer_26-35,Travel_Test City,-0.5,0.866025403784438
other,244.99,F,8419600,Doctor_46-55,Electronics_New York,-0.707106781186548,0.707106781186547
other,196.06,F,3979576,Lawyer_46-55,Travel_Los Angeles,-0.965925826289068,-0.258819045102521
other,368.73,F,2328000,Doctor_36-45,Electronics_Test City,-0.258819045102521,-0.965925826289068
Linux,370.27,F,2328000,Doctor_26-35,Electronics_Test City,0.258819045102521,-0.965925826289068
Windows,99.13,M,1680992,Engineer_36-45,Travel_Phoenix,-0.707106781186547,-0.707106781186548
other,12.57,F,1680992,Doctor_46-55,Travel_Test City,0.707106781186547,0.707106781186548
Windows,3.69,F,8419600,Doctor_65+,Groceries_Test City,-0.866025403784439,0.5
Linux,488.2,F,8419600,Teacher_65+,Groceries_Test City,0.5,-0.866025403784439
macOS,272.63,M,3979576,Teacher_46-55,Electronics_Los Angeles,0.5,0.866025403784439
other,455.49,F,3979576,Nurse_65+,Travel_Los Angeles,-0.965925826289069,0.25881904510252
other,162.88,F,8419600,Lawyer_26-35,Groceries_Test City,0.866025403784439,-0.5
Windows,47.13,F,8419600,Teacher_56-65,Groceries_Test City,-0.707106781186547,-0.707106781186548
Windows,135.11,F,8419600,Lawyer_56-65,Groceries_Test City,0.5,0.866025403784439
other,168.04,F,1680992,Engineer_36-45,Travel_Test City,-0.258819045102521,-0.965925826289068
other,338.85,F,2328000,Teacher_65+,Electronics_Test City,0.707106781186547,0.707106781186548
X11,278.85,M,3979576,Nurse_36-45,Groceries_Los Angeles,0.5,-0.866025403784439
Windows,428.59,F,8419600,Lawyer_65+,Groceries_Test City,0.866025403784439,-0.5
Linux,343.25,F,2328000,Lawyer_56-65,Apparel_Houston,-0.707106781186548,0.707106781186547
macOS,110.33,F,1680992,Doctor_36-45,Travel_Test City,-0.707106781186548,0.707106781186547
X11,49.46,F,8419600,Clerk_46-55,Apparel_Test City,0.258819045102521,-0.965925826289068
Windows,232.7,F,2716000,Lawyer_26-35,Groceries_Test City,0.5,0.866025403784439
other,273.67,F,8419600,Teacher_36-45,Electronics_New York,-0.866025403784439,0.5
other,289.86,M,2328000,Teacher_26-35,Electronics_Test City,0.5,0.866025403784439
other,60.12,F,8419600,Doctor_26-35,Groceries_Test City,-0.965925826289069,0.25881904510252
Linux,168.89,M,1680992,Engineer_46-55,Travel_Test City,0.5,-0.866025403784439
Windows,103.05,F,8419600,Doctor_46-55,Apparel_New York,-0.5,-0.866025403784439
other,188.87,F,1680992,Engineer_56-65,Travel_Test City,0,1
Windows,412.29,F,1680992,Doctor_65+,Electronics_Test City,0.707106781186548,-0.707106781186547
Windows,455.38,M,2716000,Doctor_36-45,Travel_Test City,-0.965925826289069,0.25881904510252
other,204.94,M,8419600,Artist_46-55,Entertainment_New York,0.965925826289068,-0.258819045102521
Windows,138.85,F,1680992,Teacher_46-55,Travel_Test City,0.707106781186548,-0.707106781186547
Windows,71.14,F,2328000,Clerk_56-65,Apparel_Test City,-0.707106781186547,-0.707106781186548
other,309.45,F,8419600,Clerk_36-45,Groceries_Test City,0.258819045102521,-0.965925826289068
macOS,12.99,F,3979576,Teacher_65+,Entertainment_Test City,0.866025403784439,-0.5
other,48.88,M,2328000,Engineer_36-45,Electronics_Test City,-0.5,0.866025403784438
other,123.05,F,2328000,Doctor_36-45,Travel_Test City,-0.258819045102522,0.965925826289068
Windows,237.87,M,8419600,Lawyer_26-35,Groceries_Test City,0.5,0.866025403784439
other,412.68,M,1680992,Teacher_26-35,Travel_Test City,0.258819045102521,-0.965925826289068
macOS,493.8,F,2716000,Lawyer_36-45,Apparel_Test City,-0.5,0.866025403784438
Windows,84.25,F,1680992,Nurse_46-55,Apparel_Phoenix,-0.866025403784438,-0.5
macOS,104.46,M,2716000,Doctor_26-35,Apparel_Test City,0.965925826289068,-0.258819045102521
Windows,478.77,M,1680992,Teacher_56-65,Apparel_Phoenix,0.5,0.866025403784439
other,369.02,F,2716000,Engineer_56-65,Entertainment_Chicago,1,6.15826833971767e-17
macOS,496.64,F,1680992,Teacher_56-65,Travel_Test City,-0.258819045102521,-0.965925826289068
Windows,240.97,M,8419600,Teacher_36-45,Groceries_Test City,-0.5,-0.866025403784439
Linux,99.65,F,8419600,Clerk_65+,Groceries_Test City,0,1
Windows,395.75,M,1680992,Lawyer_65+,Travel_Test City,1.22514845490862e-16,-1
macOS,322.73,M,1680992,Teacher_56-65,Groceries_Phoenix,-0.258819045102521,-0.965925826289068
X11,242.58,F,8419600,Engineer_36-45,Groceries_Test City,-0.5,0.866025403784438
Windows,200.98,F,2716000,Nurse_36-45,Entertainment_Chicago,-0.965925826289068,-0.258819045102521
Windows,480.93,M,2328000,Teacher_65+,Travel_Test City,0.5,-0.866025403784439
X11,140.45,M,8419600,Lawyer_26-35,Groceries_Test City,1.22514845490862e-16,-1
macOS,3.88,F,8419600,Lawyer_16-25,Travel_New York,-0.965925826289069,0.25881904510252
Windows,75.81,F,2716000,Doctor_36-45,Electronics_Chicago,0.707106781186547,0.707106781186548
macOS,254.04,F,2716000,Lawyer_46-55,Apparel_Test City,-0.965925826289069,0.25881904510252
other,236.11,F,2716000,Lawyer_56-65,Apparel_Test City,-0.965925826289068,-0.258819045102521
Windows,300.02,F,2716000,Teacher_56-65,Apparel_Test City,0.258819045102521,0.965925826289068
other,343.16,F,2716000,Teacher_46-55,Apparel_Test City,0.965925826289068,-0.258819045102521
Windows,459.28,M,2328000,Nurse_16-25,Apparel_Houston,-0.258819045102521,-0.965925826289068
other,112.75,F,8419600,Engineer_56-65,Groceries_Test City,0.965925826289068,0.258819045102521
other,149.77,F,2328000,Teacher_26-35,Electronics_Test City,1,6.15826833971767e-17
macOS,104.1,F,8419600,Lawyer_56-65,Groceries_Test City,-0.5,0.866025403784438
Windows,303.82,F,2716000,Teacher_46-55,Apparel_Test City,0.965925826289068,0.258819045102521
X11,93.35,F,3979576,Clerk_46-55,Entertainment_Test City,0.258819045102521,0.965925826289068
Windows,57.31,M,8419600,Lawyer_26-35,Groceries_New York,0.258819045102521,0.965925826289068
macOS,435.84,M,8419600,Nurse_36-45,Apparel_New York,-0.866025403784438,-0.5
Windows,209.09,F,1680992,Doctor_26-35,Travel_Test City,0.5,0.866025403784439
other,454.55,F,3979576,Nurse_16-25,Electronics_Los Angeles,0.258819045102521,-0.965925826289068
other,395.68,F,2328000,Doctor_56-65,Electronics_Test City,0.707106781186548,-0.707106781186547
macOS,466.53,F,8419600,Lawyer_65+,Travel_New York,0.866025403784439,0.5
other,15.05,M,3979576,Engineer_36-45,Groceries_Test City,-1,-1.83880688453542e-16
other,283,F,3979576,Lawyer_16-25,Electronics_Los Angeles,0,1
Windows,27.81,F,3979576,Clerk_36-45,Entertainment_Test City,0.866025403784439,-0.5
macOS,435.2,M,8419600,Clerk_56-65,Groceries_Test City,-0.866025403784439,0.5
other,26.93,M,2328000,Engineer_26-35,Groceries_Houston,0.965925826289068,0.258819045102521
other,322.01,M,2328000,Lawyer_56-65,Electronics_Test City,0.866025403784439,0.5
Windows,311.13,F,8419600,Clerk_16-25,Groceries_New York,-1,-1.83880688453542e-16
other,391.95,M,3979576,Artist_36-45,Apparel_Los Angeles,0.965925826289068,0.258819045102521
other,29.13,M,1680992,Artist_56-65,Entertainment_Phoenix,-0.5,0.866025403784438
Linux,440.28,F,8419600,Artist_56-65,Groceries_New York,0.866025403784439,0.5
other,73.48,F,3979576,Lawyer_65+,Groceries_Test City,-0.707106781186547,-0.707106781186548
macOS,469.6,M,1680992,Doctor_26-35,Travel_Test City,0.707106781186548,-0.707106781186547
Linux,45.84,M,3979576,Lawyer_65+,Travel_Test City,-0.866025403784439,0.5
Windows,253.1,M,3979576,Doctor_26-35,Entertainment_Test City,1,6.15826833971767e-17
Windows,373.27,F,2328000,Teacher_56-65,Travel_Test City,0.866025403784439,-0.5
Windows,492.21,F,8419600,Engineer_46-55,Groceries_Test City,0.965925826289068,-0.258819045102521
macOS,201.16,M,8419600,Lawyer_56-65,Groceries_Test City,-0.5,-0.866025403784439
